T19A,Chemparathyadi Co-oil,200ml,126
T19E,Chemparathyadi Co-oil,100ml,63
T1d,Anu Thailam,50ml,287
T2,Asanavilwadi Thylam,450ml,214
T20,Jathyadi co-oil,450ml,277
T20A,Jathyadi co-oil,200ml,126
T20C,Jathyadi co-oil,100ml,67
T21,Triphaladi Thylam,450ml,245
T21A,Triphaladi Thylam,200ml,119
T21E,Triphaladi Thylam,100ml,60
T22,Dineseladi Co-oil,450ml,308
T22A,Dineseladi Co-oil,200ml,140
T22E,Dineseladi Co-oil,100ml,70
T23,Dhanwantharam Thylam,450ml,301
T23A,Dhanwantharam Thylam,200ml,133
T23E,Dhanwantharam Thylam,100ml,67
T24,Dhanwantharam Kuzhambu,450ml,291
T24A,Dhanwantharam Kuzhambu,200ml,130
